data_id,一级类目,二级类目,视频url,视频时长,prompt,参考答案,难度,校验结果,问题详情,状态,备注
VQA_00004,常识与专业领域,知名IP,video_4.mp4,00:00:43,在视频中，派蒙声称今天是她的生日并要送一份礼物给旅行者，这份礼物具体是什么？为了制作它，她提到食材需要从什么地方获取？,派蒙打算制作一份“超好吃的蛋糕”作为礼物。但她提到制作蛋糕的食材还是要从“我们的背包里”找。,中等,通过,,正常,
VQA_00005,常识与专业领域,知名IP,video_5.mp4,00:05:00,视频中Taylor Swift在演唱过程中，向观众询问是否知道歌词的哪一部分（音乐术语）？,桥段（Bridge）。,简单,通过,,正常,
VQA_00006,推理能力,描述性推理,video_6.mp4,01:05:09,视频中多次出现的热气球，其表面主要由什么图案组成？,热气球表面主要由红、黄、绿、蓝等颜色的方格图案组成。,简单,通过,,正常,
VQA_00007,时序能力,角色状态追踪,video_7.mp4,00:02:25,视频中的绿衣男子为了参加面试，先后使用了哪些交通工具？在被拒绝进入后，他最终是如何到达公司楼下的，并对此抱怨了什么？,他先驾驶坦克试图进入，但被保安拦下；随后他乘坐直升机并跳伞降落。到达楼下后，他抱怨公司连个停机坪都没有，担心以后上班通勤是个问题。,困难,通过,,正常,
VQA_00008,视觉基础能力,动作/姿态识别,video_8.mp4,00:05:15,,,困难,需重生成,"[严重] prompt 为空
[严重] 参考答案为空",需复核,异常: list index out of range
VQA_00009,视觉基础能力,情感识别,video_9.mp4,00:06:02,视频末尾，当被问及关于结婚伴郎伴娘的问题时，答主的面部表情和语气传达了怎样的情感？他对于‘仪式感’持有怎样的观点？,答主表现出了明显的抗拒和冷淡，连说“没没没兴趣”，语气坚决且略带不耐烦，表示不会办婚礼也不会邀请任何人，只想旅行结婚。他认为仪式感是社会约定俗成的东西，并不是个人真正需要的，他内心很清楚自己不需要这些形式。,中等,通过,,正常,
VQA_00010,时序能力,角色状态追踪,video_10.mp4,00:16:22,视频中那个在昏暗房间里使用笔记本电脑的人，他的状态发生了什么变化？,他一开始在敲击键盘工作，后来因为疲惫直接趴在桌子上睡着了。,简单,通过,,正常,
VQA_00011,推理能力,解释性推理,video_11.mp4,00:03:03,视频结尾的字幕表明该视频是为了庆祝什么节日？,该视频是为了庆祝六一儿童节。,简单,通过,,正常,
VQA_00012,时序能力,长时序脉络梳理,video_12.mp4,00:06:43,,,困难,需重生成,"[严重] prompt 为空
[严重] 参考答案为空",需复核,API 调用失败: <400> InternalError.Algo.DataInspectionFailed: Input video data may contain inappropriate content.
VQA_00013,推理能力,因果关系判断,video_13.mp4,00:08:56,博主在介绍排名第一的游戏《神之天平》时，为什么称其为“治疗电子ED最猛的一颗药”，同时又警告说它有一个“副作用”？此外，他提到了该游戏在开发上有什么令人惊叹的背景？,博主称其为“治疗电子ED最猛的一颗药”是因为这款游戏极其出色，能让对游戏失去兴趣的人重燃热情；而“副作用”是指玩完这款神作后，玩家可能会因为其他游戏无法与之相比，从而陷入更严重的“电子ED”（对游戏失去兴趣）。在开发背景上，博主提到这是一款由作者独自一人开发了14年的游戏，且游戏中的许多场景和怪物素材都是作者从网上下载图片后自己拼接制作出来的。,中等,通过,,正常,
VQA_00014,时序能力,长时序脉络梳理,video_14.mp4,00:17:09,,,困难,需重生成,"[严重] prompt 为空
[严重] 参考答案为空",需复核,API 调用失败: <400> InternalError.Algo.DataInspectionFailed: Input video data may contain inappropriate content.
VQA_00015,时序能力,长时序跨片段关联,video_15.mp4,00:05:23,视频开头小猪把红色的衣服给了谁？后来在豪华宴会上，这个人为了讨好身穿金色盔甲的小猪，做出了什么动作？,给了黄色的青蛙（奶哥）。他在宴会上单膝跪地，双手握住小猪的手来讨好他。,简单,通过,,正常,
VQA_00016,时序能力,长时序跨片段关联,video_16.mp4,00:04:06,视频建议睡前一小时不要使用手机或平板，并推荐了看纸质书。请根据视频内容，解释为什么推荐看纸质书而不是玩手机？,因为手机蓝光会抑制褪黑素分泌，让人越刷越睡不着且睡眠变浅。而看纸质书虽然刚开始可能看不进去，但能让人入睡极快；此外，大脑的海马体会在睡着后帮忙整理记忆，让人记得更牢，起到一举两得的效果。,中等,通过,,正常,
VQA_00017,视觉基础能力,空间识别,video_17.mp4,00:03:17,在展示运输损耗率对比的画面中，最后出现的代表“铁路运输”的火车位于画面的上方还是下方？,位于画面的下方,简单,通过,,正常,
VQA_00001,常识与专业领域,知名IP,video_1.mp4,00:00:27,视频中的男子在车内做了什么，车外有什么情况，最后发生了什么？,男子在车内抽烟并看书，车窗外有丧尸包围，最后车辆发生了巨大的爆炸。,中等,通过,,正常,
VQA_00002,常识与专业领域,知名IP,video_2.mp4,00:05:26,视频最后展示了“诺亚奥特曼——超银河帝国”的面板数据，请问该形态下所有属性的数值显示为什么特殊的符号组合？,∞*∞（即无穷大乘以无穷大）,困难,通过,,正常,
VQA_00003,常识与专业领域,知名IP,video_3.mp4,00:00:57,视频后半段详细演示了如何到达高处的狙击点位，玩家在利用“喷气”来到玻璃外围后，后续是通过怎样的动作序列沿着墙壁边缘移动到最终位置的？,玩家先是对准边缘疾跑跳跃，然后喷气沿着边缘直接走过去，最后再对准边缘喷气并沿着边缘走。,简单,通过,,正常,
